price,date,30_day_MA,60_day_MA,RSI
-2.1814527691641783,2024-02-04 00:00:00,-2.472588325295541,-2.5243016624817813,0.11013742012214413
-2.217688484707021,2024-02-05 00:00:00,-2.4786971311277495,-2.526993941928038,-0.004541480749531795
-2.2129755889781624,2024-02-06 00:00:00,-2.4839722116726892,-2.528401670878059,1.0282192437170643
-2.170803544655696,2024-02-07 00:00:00,-2.487183078645486,-2.5309251573143516,1.0518817070069468
-2.059488975853323,2024-02-08 00:00:00,-2.498029505019198,-2.5297885727904763,1.212532904774696
-1.9547759649785488,2024-02-09 00:00:00,-2.5011262848500184,-2.5262100242953736,1.468566640355205
-1.7815138011734528,2024-02-10 00:00:00,-2.4990652076198785,-2.512753980069611,1.4548816165838176
-1.7214468291979457,2024-02-11 00:00:00,-2.493197230196835,-2.4984467360388027,1.4958243125281883
-1.6810452490206071,2024-02-12 00:00:00,-2.4718335016639803,-2.486539944089334,1.588011052320092
-1.502476428565383,2024-02-13 00:00:00,-2.442782192759917,-2.4705969353491954,1.6408330221389302
-1.5330008727955602,2024-02-14 00:00:00,-2.410787894887946,-2.4530697331879954,1.6703664561028653
-1.3354478258891984,2024-02-15 00:00:00,-2.373663913303516,-2.431459780614904,1.937435353640047
-1.3193153791832137,2024-02-16 00:00:00,-2.3381236881513106,-2.4075756119233773,1.9242303967460928
-1.2993295385354666,2024-02-17 00:00:00,-2.299992254613125,-2.3861034508527643,1.9287472274172557
-1.345589513593476,2024-02-18 00:00:00,-2.2579456583019013,-2.3647398489080187,1.7978792992312023
-1.3020123622917734,2024-02-19 00:00:00,-2.215437486071734,-2.345482078999647,1.987492454870719
-1.3379297959212089,2024-02-20 00:00:00,-2.1745402357310195,-2.327559768759234,1.8198818807093489
-1.2877760434623715,2024-02-21 00:00:00,-2.1311956215544767,-2.3088030417015952,1.8239210457470734
-1.3303998696747457,2024-02-22 00:00:00,-2.0814243540087505,-2.2904819325608137,1.562601974961709
-1.3806281212758802,2024-02-23 00:00:00,-2.0350899536190785,-2.2717219642514612,1.2381376475342807
-1.4265523381782823,2024-02-24 00:00:00,-1.9918562100951651,-2.2554114245666375,0.7753514279246854
-1.3582048068979902,2024-02-25 00:00:00,-1.945002378185559,-2.2349482651916324,0.7906990286364558
-1.3391228882744162,2024-02-26 00:00:00,-1.9051106264189648,-2.216077593830847,0.7505742689089652
-1.0774202652386677,2024-02-27 00:00:00,-1.8552564450755007,-2.1891814020557434,0.896614769768058
-0.8350092095825103,2024-02-28 00:00:00,-1.7948398393866996,-2.155375716769203,1.3191636297330005
-0.3017704640357834,2024-02-29 00:00:00,-1.7170205747247502,-2.1093212360038995,1.5606803052638591
-0.4227549554204891,2024-03-01 00:00:00,-1.6427705307816942,-2.0660926990759143,1.1958182639548978
-0.31443574163367294,2024-03-02 00:00:00,-1.5627228823100465,-2.02474831654473,1.2585435023682003
-0.3488750122219699,2024-03-03 00:00:00,-1.4860821403270255,-1.9860867878557122,1.2896103405166068
-0.25430036126076316,2024-03-04 00:00:00,-1.4058768849512666,-1.9402733001630539,1.3221923095380257
0.2384764973903295,2024-03-05 00:00:00,-1.3041812400590325,-1.8859465351521598,1.636473541545949
-0.1354213543070633,2024-03-06 00:00:00,-1.2166755837613084,-1.8402546706535674,0.9104006760937031
0.04258384362707024,2024-03-07 00:00:00,-1.1218874532726268,-1.7900068032545966,1.0752360125534128
0.11927702959209535,2024-03-08 00:00:00,-1.025648598661436,-1.737785836700725,1.1920685144111556
0.25082159412635924,2024-03-09 00:00:00,-0.9285595942171254,-1.68937383834115,1.3212005883257263
0.2693241745113166,2024-03-10 00:00:00,-0.835093516048499,-1.638645318615033,1.3015384071960874
0.32381505666648175,2024-03-11 00:00:00,-0.7466187085955118,-1.587823286170986,1.3155801579406463
0.6170585189416316,2024-03-12 00:00:00,-0.648344840532585,-1.529363590674609,1.3277838062318204
0.5533796469093799,2024-03-13 00:00:00,-0.5544448725064983,-1.464660679263937,1.1191988904478005
0.7099029576884631,2024-03-14 00:00:00,-0.4614713498746953,-1.3961624261237573,0.9029398032496908
0.5488544386706897,2024-03-15 00:00:00,-0.3739829999472942,-1.329091219781507,0.8313399236765797
0.3643327645465433,2024-03-16 00:00:00,-0.30255104294394625,-1.2681536870870236,0.4456109887320858
-0.03935517609996926,2024-03-17 00:00:00,-0.24876171112836232,-1.2180088228895976,-0.04179789173196239
0.2613963893655811,2024-03-18 00:00:00,-0.1831734181432907,-1.1597860825375061,0.13107221802511076
0.19262107824871819,2024-03-19 00:00:00,-0.11853131464074482,-1.099896718421546,-0.4086344583581928
-0.34266909876271673,2024-03-20 00:00:00,-0.07821566029250207,-1.053403825396418,-0.5737631824049302
0.20319091666170874,2024-03-21 00:00:00,-0.013451261229696735,-0.9940909927790348,-0.21082712649228208
-0.015965363584567665,2024-03-22 00:00:00,0.039995593212935235,-0.9397574080828965,-0.4757583206979296
-0.21053398839449808,2024-03-23 00:00:00,0.08705708569686754,-0.8854006445841138,-0.7525066327275145
-0.13597174783568727,2024-03-24 00:00:00,0.1393628015355982,-0.8300293274009871,-0.6985619463626574
0.15442022116209803,2024-03-25 00:00:00,0.20580194345645264,-0.7684648001219513,-0.4905396413311874
0.4066825490655514,2024-03-26 00:00:00,0.2799699616326228,-0.7005295674457075,-0.5246365216997199
0.4204195181487603,2024-03-27 00:00:00,0.3539133624623536,-0.6366285646690535,-0.4647546376090944
0.358380056502557,2024-03-28 00:00:00,0.4142517540318912,-0.5747723124738255,-0.6488230378263771
